#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-10-14 17:37:02.336
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 100 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.48031 V
#Offset: -6.64227e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54429 V
#Offset: 8.32559e-06 V
#Attenuation: 1 X

Frequency (Hz)	Trace ? (°)	Trace |Z| (?)	Trace Rs (?)	Trace Xs (?)
2.02754e+06	-85.796	282.531	20.712	-281.771
2.0369e+06	-85.3279	278.822	22.7111	-277.895
2.0463e+06	-84.639	275.388	25.7296	-274.184
2.05575e+06	-83.6987	273.602	30.0297	-271.949
2.06524e+06	-82.7803	275.126	34.5764	-272.944
2.07477e+06	-82.5365	278.756	36.2088	-276.395
2.08435e+06	-82.8304	280.489	35.0069	-278.295
2.09397e+06	-83.0411	280.761	34.016	-278.692
2.10363e+06	-83.1898	281.463	33.3759	-279.477
2.11334e+06	-83.6195	282.686	31.4151	-280.935
2.1231e+06	-84.3671	282.207	27.6998	-280.844
2.1329e+06	-84.9944	279.875	24.4198	-278.807
2.14274e+06	-85.4529	276.897	21.9521	-276.025
2.15263e+06	-85.7934	273.62	20.0708	-272.883
2.16257e+06	-86.01	269.866	18.7778	-269.212
2.17255e+06	-86.0317	266.019	18.4096	-265.382
2.18258e+06	-85.7987	262.683	19.2443	-261.977
2.19265e+06	-85.6565	260.336	19.7168	-259.588
2.20277e+06	-85.515	257.378	20.1266	-256.59
2.21294e+06	-85.1346	254.663	21.5993	-253.745
2.22316e+06	-84.7199	252.727	23.2573	-251.655
2.23342e+06	-84.162	251.563	25.5881	-250.259
2.24373e+06	-83.8516	252.109	27.002	-250.658
2.25408e+06	-83.7771	251.844	27.2992	-250.36
2.26449e+06	-84.0322	251.613	26.1602	-250.25
2.27494e+06	-84.0754	248.65	25.6655	-247.321
2.28544e+06	-83.5106	246.532	27.863	-244.953
2.29599e+06	-82.9863	249.9	30.5143	-248.03
2.30659e+06	-84.0994	248.069	25.5022	-246.755
2.31723e+06	-83.9399	244.047	25.7643	-242.683
2.32793e+06	-83.4204	241.856	27.7126	-240.263
2.33868e+06	-82.8558	240.689	29.934	-238.82
2.34947e+06	-82.1374	240.729	32.9312	-238.466
2.36032e+06	-81.5012	243.082	35.925	-240.413
2.37121e+06	-81.4432	247.336	36.8009	-244.583
2.38215e+06	-82.4698	251.208	32.9203	-249.041
2.39315e+06	-83.6689	250.692	27.6447	-249.163
2.4042e+06	-84.5971	247.893	23.3414	-246.792
2.41529e+06	-85.1939	243.896	20.4347	-243.039
2.42644e+06	-85.3822	239.802	19.306	-239.024
2.43764e+06	-85.2712	236.085	19.4627	-235.282
2.44889e+06	-84.9245	233.258	20.6358	-232.343
2.4602e+06	-84.5603	231.118	21.9095	-230.077
2.47155e+06	-83.9821	229.807	24.093	-228.541
2.48296e+06	-83.5386	230.848	25.9783	-229.382
2.49442e+06	-83.8043	231.716	25.0078	-230.363
2.50594e+06	-84.104	230.729	23.7011	-229.509
2.5175e+06	-84.2398	229.213	23.0052	-228.056
2.52912e+06	-84.2114	227.584	22.9539	-226.424
2.5408e+06	-84.0329	226.85	23.5828	-225.62
2.55252e+06	-84.1257	226.778	23.2098	-225.587
2.56431e+06	-84.2986	225.761	22.428	-224.644
2.57614e+06	-84.3302	224.7	22.1994	-223.601
